date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:18	9924/9924	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:18%20GMT	http://localhost:57233/help	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/help.html	(from )
10:49:19	4931/4931	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Oct%202016%2023:49:18%20GMT	http://localhost:57233/robots.txt		(from )
10:49:19	120502/120502	---M-Z	200	added ('OK')	text/css	etag:%22d1e9a993f31dd21:0%22	http://localhost:57233/Content/bootstrap.css	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Content/bootstrap.css	(from http://localhost:57233/help)
10:49:19	332/332	---M-Z	200	added ('OK')	text/css	etag:%22205e9091f31dd21:0%22	http://localhost:57233/Content/site.css	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Content/site.css	(from http://localhost:57233/help)
10:49:20	9924/9924	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:19%20GMT	http://localhost:57233/Help	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help-2.html	(from http://localhost:57233/help)
10:49:20	2445/2445	---M-Z	200	added ('OK')	text/css	etag:%22a6939b97f31dd21:0%22	http://localhost:57233/Areas/HelpPage/HelpPage.css	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Areas/HelpPage/HelpPage.css	(from http://localhost:57233/help)
10:49:20	11291/11291	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:20%20GMT	http://localhost:57233/Help/Api/GET-api-users-userId-workgroups-workgroupId	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/Api/GET-api-users-userId-workgroups-workgroupId.html	(from http://localhost:57233/help)
10:49:21	51458/51458	---M-Z	200	added ('OK')	application/javascript	etag:%22bd17c997f31dd21:0%22	http://localhost:57233/Scripts/modernizr-2.6.2.js	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Scripts/modernizr-2.6.2.js	(from http://localhost:57233/help)
10:49:21	7443/7443	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:20%20GMT	http://localhost:57233/Help/Api/GET-api-users-userId-workgroups_count	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/Api/GET-api-users-userId-workgroups_count.html	(from http://localhost:57233/help)
10:49:21	3151/3151	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Oct%202016%2023:49:20%20GMT	http://localhost:57233/	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/index.html	(from http://localhost:57233/help)
10:49:21	7788/7788	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202016%2023:49:20%20GMT	http://localhost:57233/Help/Api/POST-api-login_username_password	C:/Users/tnew2/development/FleetApi/Docs/localhost_57233/Help/Api/POST-api-login_username_password.html	(from http://localhost:57233/help)
